 INFO  Accepting connections at http://localhost:5000
 HTTP  2/4/2026 9:41:15 PM ::1 GET /
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 200 in 93 ms
 HTTP  2/4/2026 9:41:15 PM ::1 GET /_next/static/media/GeistMono_Variable.p.73882635.woff2
 HTTP  2/4/2026 9:41:15 PM ::1 GET /_next/static/chunks/a3f9bbc275ab209c.css
 HTTP  2/4/2026 9:41:15 PM ::1 GET /_next/static/media/Geist_Variable-s.p.f19e4721.woff2
 HTTP  2/4/2026 9:41:15 PM ::1 GET /_next/static/chunks/2b2ab7048233205d.css
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 304 in 7 ms
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 304 in 11 ms
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 304 in 8 ms
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 304 in 8 ms
 HTTP  2/4/2026 9:41:15 PM ::1 GET /_next/static/chunks/c7b10d2a59f98fd4.js
 HTTP  2/4/2026 9:41:15 PM ::1 GET /_next/static/chunks/2ab42d870244eb3c.js
 HTTP  2/4/2026 9:41:15 PM ::1 GET /_next/static/chunks/a5e67bba9ac85b3d.js
 HTTP  2/4/2026 9:41:15 PM ::1 GET /_next/static/chunks/e40f5e4b6d39e562.js
 HTTP  2/4/2026 9:41:15 PM ::1 GET /_next/static/chunks/b056a15eec95302c.js
 HTTP  2/4/2026 9:41:15 PM ::1 GET /_next/static/chunks/turbopack-c563d7d690b956c1.js
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 304 in 13 ms
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 304 in 15 ms
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 304 in 15 ms
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 304 in 13 ms
 HTTP  2/4/2026 9:41:15 PM ::1 GET /_next/static/chunks/8d51be5a4bb87b2f.js
 HTTP  2/4/2026 9:41:15 PM ::1 GET /_next/static/chunks/8d3945c9ea1274d1.js
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 304 in 19 ms
 HTTP  2/4/2026 9:41:15 PM ::1 GET /_next/static/chunks/99f23e9a71411bc0.js
 HTTP  2/4/2026 9:41:15 PM ::1 GET /_next/static/chunks/381f22656e9e8446.js
 HTTP  2/4/2026 9:41:15 PM ::1 GET /_next/static/chunks/3d6a33a679259187.js
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 304 in 23 ms
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 304 in 9 ms
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 304 in 7 ms
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 304 in 8 ms
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 200 in 7 ms
 HTTP  2/4/2026 9:41:15 PM ::1 GET /_next/static/chunks/259c7545b1d67d93.js
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 304 in 14 ms
 HTTP  2/4/2026 9:41:15 PM ::1 Returned 304 in 4 ms
 HTTP  2/4/2026 9:41:16 PM ::1 GET /_next/static/chunks/6825a4577ef76b1e.js
 HTTP  2/4/2026 9:41:16 PM ::1 GET /_next/static/chunks/7c23e3def5a33734.js
 HTTP  2/4/2026 9:41:16 PM ::1 GET /_next/static/chunks/af78c69164b49c95.js
 HTTP  2/4/2026 9:41:16 PM ::1 GET /_next/static/chunks/5795df3dd5b77c1a.js
 HTTP  2/4/2026 9:41:16 PM ::1 GET /_next/static/chunks/9a7908e8bb0f59b7.js
 HTTP  2/4/2026 9:41:16 PM ::1 GET /_next/static/chunks/63b7ce74710ea28a.js
 HTTP  2/4/2026 9:41:16 PM ::1 Returned 304 in 5 ms
 HTTP  2/4/2026 9:41:16 PM ::1 Returned 304 in 6 ms
 HTTP  2/4/2026 9:41:16 PM ::1 Returned 200 in 9 ms
 HTTP  2/4/2026 9:41:16 PM ::1 GET /favicon.png
 HTTP  2/4/2026 9:41:16 PM ::1 Returned 304 in 7 ms
 HTTP  2/4/2026 9:41:16 PM ::1 Returned 304 in 8 ms
 HTTP  2/4/2026 9:41:16 PM ::1 Returned 304 in 10 ms
 HTTP  2/4/2026 9:41:16 PM ::1 Returned 304 in 7 ms
 HTTP  2/4/2026 9:41:16 PM ::1 GET /manifest.json
 HTTP  2/4/2026 9:41:16 PM ::1 Returned 304 in 3 ms
 HTTP  2/4/2026 9:41:16 PM ::1 GET /icons/icon-144x144.png
 HTTP  2/4/2026 9:41:16 PM ::1 Returned 304 in 4 ms
 HTTP  2/4/2026 10:46:06 PM ::1 GET /
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 14 ms
 HTTP  2/4/2026 10:46:06 PM ::1 GET /_next/static/media/GeistMono_Variable.p.73882635.woff2
 HTTP  2/4/2026 10:46:06 PM ::1 GET /_next/static/media/Geist_Variable-s.p.f19e4721.woff2
 HTTP  2/4/2026 10:46:06 PM ::1 GET /_next/static/chunks/a3f9bbc275ab209c.css
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 4 ms
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 4 ms
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 3 ms
 HTTP  2/4/2026 10:46:06 PM ::1 GET /_next/static/chunks/2b2ab7048233205d.css
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 2 ms
 HTTP  2/4/2026 10:46:06 PM ::1 GET /_next/static/chunks/a5e67bba9ac85b3d.js
 HTTP  2/4/2026 10:46:06 PM ::1 GET /_next/static/chunks/e40f5e4b6d39e562.js
 HTTP  2/4/2026 10:46:06 PM ::1 GET /_next/static/chunks/b056a15eec95302c.js
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 3 ms
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 3 ms
 HTTP  2/4/2026 10:46:06 PM ::1 GET /_next/static/chunks/turbopack-c563d7d690b956c1.js
 HTTP  2/4/2026 10:46:06 PM ::1 GET /_next/static/chunks/c7b10d2a59f98fd4.js
 HTTP  2/4/2026 10:46:06 PM ::1 GET /_next/static/chunks/2ab42d870244eb3c.js
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 5 ms
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 4 ms
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 4 ms
 HTTP  2/4/2026 10:46:06 PM ::1 GET /_next/static/chunks/8d51be5a4bb87b2f.js
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 4 ms
 HTTP  2/4/2026 10:46:06 PM ::1 GET /_next/static/chunks/8d3945c9ea1274d1.js
 HTTP  2/4/2026 10:46:06 PM ::1 GET /_next/static/chunks/99f23e9a71411bc0.js
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 4 ms
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 3 ms
 HTTP  2/4/2026 10:46:06 PM ::1 GET /_next/static/chunks/381f22656e9e8446.js
 HTTP  2/4/2026 10:46:06 PM ::1 GET /_next/static/chunks/3d6a33a679259187.js
 HTTP  2/4/2026 10:46:06 PM ::1 GET /_next/static/chunks/259c7545b1d67d93.js
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 6 ms
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 3 ms
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 3 ms
 HTTP  2/4/2026 10:46:06 PM ::1 Returned 304 in 10 ms
 HTTP  2/4/2026 10:46:07 PM ::1 GET /_next/static/chunks/7c23e3def5a33734.js
 HTTP  2/4/2026 10:46:07 PM ::1 Returned 304 in 2 ms
 HTTP  2/4/2026 10:46:07 PM ::1 GET /_next/static/chunks/6825a4577ef76b1e.js
 HTTP  2/4/2026 10:46:07 PM ::1 GET /_next/static/chunks/af78c69164b49c95.js
 HTTP  2/4/2026 10:46:07 PM ::1 GET /_next/static/chunks/5795df3dd5b77c1a.js
 HTTP  2/4/2026 10:46:07 PM ::1 GET /_next/static/chunks/9a7908e8bb0f59b7.js
 HTTP  2/4/2026 10:46:07 PM ::1 GET /_next/static/chunks/63b7ce74710ea28a.js
 HTTP  2/4/2026 10:46:07 PM ::1 GET /favicon.png
 HTTP  2/4/2026 10:46:07 PM ::1 Returned 304 in 4 ms
 HTTP  2/4/2026 10:46:07 PM ::1 Returned 304 in 4 ms
 HTTP  2/4/2026 10:46:07 PM ::1 Returned 304 in 4 ms
 HTTP  2/4/2026 10:46:07 PM ::1 Returned 304 in 5 ms
 HTTP  2/4/2026 10:46:07 PM ::1 Returned 304 in 4 ms
 HTTP  2/4/2026 10:46:07 PM ::1 Returned 304 in 4 ms
 HTTP  2/4/2026 10:46:07 PM ::1 GET /manifest.json
 HTTP  2/4/2026 10:46:07 PM ::1 Returned 304 in 1 ms
 HTTP  2/4/2026 10:46:07 PM ::1 GET /icons/icon-144x144.png
 HTTP  2/4/2026 10:46:07 PM ::1 Returned 304 in 2 ms
 HTTP  2/4/2026 10:46:14 PM ::1 GET /_next/static/chunks/6e1d0eadcfb670a8.js
 HTTP  2/4/2026 10:46:14 PM ::1 Returned 200 in 7 ms
 HTTP  2/4/2026 10:46:14 PM ::1 GET /_next/static/chunks/5e6f34683e75dddc.js
 HTTP  2/4/2026 10:46:14 PM ::1 GET /_next/static/chunks/9ecfbf5169958c55.js
 HTTP  2/4/2026 10:46:14 PM ::1 GET /_next/static/chunks/c68b6eb0955c1f83.js
 HTTP  2/4/2026 10:46:14 PM ::1 GET /_next/static/chunks/15aac59396339d89.js
 HTTP  2/4/2026 10:46:14 PM ::1 GET /_next/static/chunks/2159dcf9721643d9.js
 HTTP  2/4/2026 10:46:14 PM ::1 GET /_next/static/chunks/7624174236bc4497.css
 HTTP  2/4/2026 10:46:14 PM ::1 Returned 304 in 11 ms
 HTTP  2/4/2026 10:46:14 PM ::1 Returned 304 in 15 ms
 HTTP  2/4/2026 10:46:14 PM ::1 Returned 304 in 14 ms
 HTTP  2/4/2026 10:46:14 PM ::1 GET /_next/static/chunks/90ffb07d5d0c11b7.js
 HTTP  2/4/2026 10:46:14 PM ::1 Returned 304 in 21 ms
 HTTP  2/4/2026 10:46:14 PM ::1 Returned 304 in 23 ms
 HTTP  2/4/2026 10:46:14 PM ::1 GET /_next/static/chunks/821d15ef82816d37.js
 HTTP  2/4/2026 10:46:14 PM ::1 GET /_next/static/chunks/531380bf814754ac.js
 HTTP  2/4/2026 10:46:14 PM ::1 Returned 304 in 27 ms
 HTTP  2/4/2026 10:46:14 PM ::1 GET /_next/static/chunks/9e5531af4acb8a71.js
 HTTP  2/4/2026 10:46:14 PM ::1 GET /_next/static/chunks/2c61dc47d6477f97.js
 HTTP  2/4/2026 10:46:14 PM ::1 Returned 304 in 17 ms
 HTTP  2/4/2026 10:46:14 PM ::1 GET /_next/static/chunks/9728db589fd82c5b.js
 HTTP  2/4/2026 10:46:14 PM ::1 Returned 200 in 7 ms
 HTTP  2/4/2026 10:46:14 PM ::1 Returned 304 in 11 ms
 HTTP  2/4/2026 10:46:14 PM ::1 Returned 304 in 10 ms
 HTTP  2/4/2026 10:46:14 PM ::1 Returned 304 in 13 ms
 HTTP  2/4/2026 10:46:14 PM ::1 Returned 304 in 10 ms
 HTTP  2/4/2026 10:46:14 PM ::1 GET /_next/static/chunks/2a2c81b4093eda54.js
 HTTP  2/4/2026 10:46:14 PM ::1 Returned 304 in 6 ms
 HTTP  2/4/2026 10:47:01 PM ::1 GET /_next/static/media/KaTeX_Size2-Regular.6a97527b.woff2
 HTTP  2/4/2026 10:47:01 PM ::1 GET /_next/static/media/KaTeX_Math-Italic.d8564edb.woff2
 HTTP  2/4/2026 10:47:01 PM ::1 GET /_next/static/media/KaTeX_Main-Regular.12644167.woff2
 HTTP  2/4/2026 10:47:01 PM ::1 Returned 304 in 7 ms
 HTTP  2/4/2026 10:47:01 PM ::1 Returned 304 in 6 ms
 HTTP  2/4/2026 10:47:01 PM ::1 Returned 304 in 7 ms
