 INFO  Accepting connections at http://localhost:3000
 HTTP  2/9/2026 1:03:40 AM ::1 GET /diagnostics/
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 92 ms
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/media/GeistMono_Variable.p.73882635.woff2
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/a3f9bbc275ab209c.css
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/619093f1d9647e63.css
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/media/Geist_Variable-s.p.f19e4721.woff2
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/45e1c455c84d474e.js
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/4140f791c23980ab.js
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 16 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 15 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 13 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 11 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 19 ms
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/b056a15eec95302c.js
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 15 ms
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/turbopack-524ee0f4afce590d.js
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/c7b10d2a59f98fd4.js
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/5b97584891a60a1a.js
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 10 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 10 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 13 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 24 ms
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/cafcc9127b0d1020.js
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/8d3945c9ea1274d1.js
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/1a60fe2d0f6b1dae.js
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/8d51be5a4bb87b2f.js
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/baba5dd33f93075b.js
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 12 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 5 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 7 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 12 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 15 ms
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/381f22656e9e8446.js
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/f140183199d5b735.js
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/6cbf9fd5962d4ef1.js
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 5 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 4 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 4 ms
 HTTP  2/9/2026 1:03:40 AM ::1 GET /favicon.png
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 3 ms
 HTTP  2/9/2026 1:03:40 AM ::1 GET /test-markdown-coverage.md
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 3 ms
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/54ecdf9f7898869c.js
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 2 ms
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/2c1fd57f662953d5.js
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/ee0a3f7f818e5ce9.js
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/90ffb07d5d0c11b7.js
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/9e5531af4acb8a71.js
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/2159dcf9721643d9.js
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/9728db589fd82c5b.js
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 4 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 5 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 3 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 5 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 5 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 5 ms
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/7624174236bc4497.css
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/679f73e39b63ec69.js
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/ddf43a0d41c99878.js
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/15aac59396339d89.js
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 6 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 6 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 7 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 7 ms
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/chunks/2a2c81b4093eda54.js
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 7 ms
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/media/KaTeX_Math-Italic.d8564edb.woff2
 HTTP  2/9/2026 1:03:40 AM ::1 GET /_next/static/media/KaTeX_Main-Regular.12644167.woff2
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 3 ms
 HTTP  2/9/2026 1:03:40 AM ::1 Returned 200 in 3 ms
 HTTP  2/9/2026 1:04:43 AM ::1 GET /_next/static/chunks/8f31ddce024b6449.js
 HTTP  2/9/2026 1:04:43 AM ::1 GET /_next/static/chunks/e95e8f863b0dbeb7.js
 HTTP  2/9/2026 1:04:43 AM ::1 Returned 200 in 3 ms
 HTTP  2/9/2026 1:04:43 AM ::1 Returned 200 in 2 ms
 HTTP  2/9/2026 1:05:00 AM ::1 GET /test-advanced-markdown.md
 HTTP  2/9/2026 1:05:00 AM ::1 Returned 200 in 4 ms
 HTTP  2/9/2026 1:05:24 AM ::1 GET /test-formula-rendering.md
 HTTP  2/9/2026 1:05:24 AM ::1 Returned 200 in 3 ms
 HTTP  2/9/2026 1:05:24 AM ::1 GET /_next/static/media/KaTeX_Size1-Regular.4450ef36.woff2
 HTTP  2/9/2026 1:05:24 AM ::1 Returned 200 in 3 ms
 HTTP  2/9/2026 1:05:24 AM ::1 GET /_next/static/media/KaTeX_Size2-Regular.6a97527b.woff2
 HTTP  2/9/2026 1:05:24 AM ::1 Returned 200 in 3 ms
 HTTP  2/9/2026 1:05:48 AM ::1 GET /test-cursor-positioning.md
 HTTP  2/9/2026 1:05:48 AM ::1 Returned 200 in 3 ms
 HTTP  2/9/2026 1:06:20 AM ::1 GET /test-syntax-hiding.md
 HTTP  2/9/2026 1:06:20 AM ::1 Returned 200 in 2 ms
 HTTP  2/9/2026 1:06:46 AM ::1 GET /test-nested-formatting.md
 HTTP  2/9/2026 1:06:46 AM ::1 Returned 200 in 3 ms
 HTTP  2/9/2026 1:07:14 AM ::1 GET /test-text-duplication.md
 HTTP  2/9/2026 1:07:14 AM ::1 Returned 200 in 3 ms
 HTTP  2/9/2026 1:07:14 AM ::1 GET /icons/icon-192x192.png
 HTTP  2/9/2026 1:07:14 AM ::1 Returned 200 in 1 ms
 HTTP  2/9/2026 1:07:14 AM ::1 GET /icons/icon-384x384.png
 HTTP  2/9/2026 1:07:14 AM ::1 Returned 200 in 2 ms
 HTTP  2/9/2026 1:07:43 AM ::1 GET /test-10000-lines.md
 HTTP  2/9/2026 1:07:43 AM ::1 GET /icons/icon-192x192.png
 HTTP  2/9/2026 1:07:43 AM ::1 Returned 304 in 2 ms
 HTTP  2/9/2026 1:07:43 AM ::1 Returned 200 in 4 ms
 HTTP  2/9/2026 1:09:23 AM ::1 GET /test-markdown-coverage.md
 HTTP  2/9/2026 1:09:23 AM ::1 Returned 304 in 3 ms
